-0.50000 9.84816777 1.98204893
-0.49900 9.79265141 1.98209988
-0.49800 9.74226767 1.98214600
-0.49700 9.69640430 1.98218782
-0.49600 9.65453765 1.98222585
-0.49499 9.61621770 1.98226049
-0.49399 9.58105603 1.98229210
-0.49299 9.54871595 1.98232100
-0.49199 9.51890447 1.98234746
-0.49099 9.49136569 1.98237171
-0.48999 9.46587528 1.98239396
-0.48899 9.44223593 1.98241440
-0.48799 9.42027355 1.98243320
-0.48699 9.39983407 1.98245049
-0.48599 9.38078073 1.98246641
-0.48498 9.36299180 1.98248107
-0.48398 9.34635865 1.98249457
-0.48298 9.33078408 1.98250700
-0.48198 9.31618093 1.98251846
-0.48098 9.30247085 1.98252901
-0.47998 9.28958323 1.98253871
-0.47898 9.27745435 1.98254764
-0.47798 9.26602655 1.98255585
-0.47698 9.25524755 1.98256338
-0.47598 9.24506989 1.98257029
-0.47497 9.23545038 1.98257661
-0.47397 9.22634966 1.98258238
-0.47297 9.21773179 1.98258763
-0.47197 9.20956392 1.98259241
-0.47097 9.20181593 1.98259673
-0.46997 9.19446024 1.98260063
-0.46897 9.18747147 1.98260413
-0.46797 9.18082629 1.98260724
-0.46697 9.17450322 1.98261001
-0.46597 9.16848244 1.98261243
-0.46496 9.16274563 1.98261454
-0.46396 9.15727588 1.98261634
-0.46296 9.15205750 1.98261785
-0.46196 9.14707597 1.98261909
-0.46096 9.14231782 1.98262007
-0.45996 9.13777051 1.98262080
-0.45896 9.13342241 1.98262130
-0.45796 9.12926268 1.98262157
-0.45696 9.12528121 1.98262163
-0.45596 9.12146858 1.98262147
-0.45495 9.11781601 1.98262113
-0.45395 9.11431526 1.98262059
-0.45295 9.11095866 1.98261987
-0.45195 9.10773901 1.98261897
-0.45095 9.10464956 1.98261791
-0.44995 9.10168400 1.98261668
-0.44895 9.09883639 1.98261530
-0.44795 9.09610117 1.98261376
-0.44695 9.09347309 1.98261208
-0.44595 9.09094724 1.98261026
-0.44494 9.08851898 1.98260831
-0.44394 9.08618395 1.98260622
-0.44294 9.08393804 1.98260400
-0.44194 9.08177735 1.98260166
-0.44094 9.07969824 1.98259920
-0.43994 9.07769725 1.98259662
-0.43894 9.07577111 1.98259393
-0.43794 9.07391674 1.98259113
-0.43694 9.07213121 1.98258822
-0.43594 9.07041176 1.98258520
-0.43493 9.06875577 1.98258207
-0.43393 9.06716077 1.98257885
-0.43293 9.06562440 1.98257553
-0.43193 9.06414444 1.98257211
-0.43093 9.06271876 1.98256859
-0.42993 9.06134537 1.98256498
-0.42893 9.06002235 1.98256128
-0.42793 9.05874789 1.98255749
-0.42693 9.05752027 1.98255361
-0.42593 9.05633786 1.98254965
-0.42492 9.05519909 1.98254559
-0.42392 9.05410249 1.98254145
-0.42292 9.05304664 1.98253723
-0.42192 9.05203020 1.98253293
-0.42092 9.05105189 1.98252854
-0.41992 9.05011049 1.98252408
