-2.500000000000000000e+00 2.888562207644289142e-04 1.985877921490066920e-07	-2.500000000000000000e+00 2.888562207644289142e-04 1.985877921490066920e-07
-2.494994994994994997e+00 2.926082112050483247e-04 2.044473563767733296e-07	-2.494994994994994997e+00 2.926082112050483247e-04 2.044473563767733296e-07
-2.489989989989989994e+00 2.964515147792253619e-04 2.105314381737210527e-07	-2.489989989989989994e+00 2.964515147792253619e-04 2.105314381737210527e-07
-2.484984984984984990e+00 3.003893944877618198e-04 2.168507854646191990e-07	-2.484984984984984990e+00 3.003893944877618198e-04 2.168507854646191990e-07
-2.479979979979979987e+00 3.044252663477793760e-04 2.234167694999625509e-07	-2.479979979979979987e+00 3.044252663477793760e-04 2.234167694999625509e-07
-2.474974974974974984e+00 3.085627082789991083e-04 2.302414275991367816e-07	-2.474974974974974984e+00 3.085627082789991083e-04 2.302414275991367816e-07
-2.469969969969969981e+00 3.128054696068914976e-04 2.373375092931668081e-07	-2.469969969969969981e+00 3.128054696068914976e-04 2.373375092931668081e-07
-2.464964964964964977e+00 3.171574812326596101e-04 2.447185261758842047e-07	-2.464964964964964977e+00 3.171574812326596101e-04 2.447185261758842047e-07
-2.459959959959959974e+00 3.216228665246430871e-04 2.523988058039819317e-07	-2.459959959959959974e+00 3.216228665246430871e-04 2.523988058039819317e-07
-2.454954954954954971e+00 3.262059529908579243e-04 2.603935500216956680e-07	-2.454954954954954971e+00 3.262059529908579243e-04 2.603935500216956680e-07
-2.449949949949949968e+00 3.309112847980569673e-04 2.687188981252111230e-07	-2.449949949949949968e+00 3.309112847980569673e-04 2.687188981252111230e-07
-2.444944944944944965e+00 3.357436362089507567e-04 2.773919953258172136e-07	-2.444944944944944965e+00 3.357436362089507567e-04 2.773919953258172136e-07
-2.439939939939939961e+00 3.407080260162051455e-04 2.864310670200038053e-07	-2.439939939939939961e+00 3.407080260162051455e-04 2.864310670200038053e-07
-2.434934934934934958e+00 3.458097330595255527e-04 2.958554994297052486e-07	-2.434934934934934958e+00 3.458097330595255527e-04 2.958554994297052486e-07
-2.429929929929929955e+00 3.510543129207205348e-04 3.056859272375844054e-07	-2.429929929929929955e+00 3.510543129207205348e-04 3.056859272375844054e-07
-2.424924924924924952e+00 3.564476159011693368e-04 3.159443289114841991e-07	-2.424924924924924952e+00 3.564476159011693368e-04 3.159443289114841991e-07
-2.419919919919919948e+00 3.619958063967343735e-04 3.266541304899883136e-07	-2.419919919919919948e+00 3.619958063967343735e-04 3.266541304899883136e-07
-2.414914914914914945e+00 3.677053837969947452e-04 3.378403186885732546e-07	-2.414914914914914945e+00 3.677053837969947452e-04 3.378403186885732546e-07
-2.409909909909909942e+00 3.735832050489012839e-04 3.495295642845355596e-07	-2.409909909909909942e+00 3.735832050489012839e-04 3.495295642845355596e-07
-2.404904904904904939e+00 3.796365090397184534e-04 3.617503568501739450e-07	-2.404904904904904939e+00 3.796365090397184534e-04 3.617503568501739450e-07
-2.399899899899899935e+00 3.858729429706641125e-04 3.745331520295453611e-07	-2.399899899899899935e+00 3.858729429706641125e-04 3.745331520295453611e-07
-2.394894894894894932e+00 3.923005909111878685e-04 3.879105326964623670e-07	-2.394894894894894932e+00 3.923005909111878685e-04 3.879105326964623670e-07
-2.389889889889889929e+00 3.989280047446370830e-04 4.019173854927379966e-07	-2.389889889889889929e+00 3.989280047446370830e-04 4.019173854927379966e-07
-2.384884884884884926e+00 4.057642377394472962e-04 4.165910944288313917e-07	-2.384884884884884926e+00 4.057642377394472962e-04 4.165910944288313917e-07
-2.379879879879879923e+00 4.128188810063123542e-04 4.319717534371801498e-07	-2.379879879879879923e+00 4.128188810063123542e-04 4.319717534371801498e-07
-2.374874874874874919e+00 4.201021031314676100e-04 4.481024000055584086e-07	-2.374874874874874919e+00 4.201021031314676100e-04 4.481024000055584086e-07
-2.369869869869869916e+00 4.276246933097294350e-04 4.650292722880764168e-07	-2.369869869869869916e+00 4.276246933097294350e-04 4.650292722880764168e-07
-2.364864864864864913e+00 4.353981083388185828e-04 4.828020924002299767e-07	-2.364864864864864913e+00 4.353981083388185828e-04 4.828020924002299767e-07
-2.359859859859859910e+00 4.434345238794127069e-04 5.014743789577437558e-07	-2.359859859859859910e+00 4.434345238794127069e-04 5.014743789577437558e-07
-2.354854854854854906e+00 4.517468904340682162e-04 5.211037923239902797e-07	-2.354854854854854906e+00 4.517468904340682162e-04 5.211037923239902797e-07
-2.349849849849849903e+00 4.603489945534826647e-04 5.417525164959259968e-07	-2.349849849849849903e+00 4.603489945534826647e-04 5.417525164959259968e-07
-2.344844844844844900e+00 4.692555258415643214e-04 5.634876820936414850e-07	-2.344844844844844900e+00 4.692555258415643214e-04 5.634876820936414850e-07
-2.339839839839839897e+00 4.784821504026373021e-04 5.863818355355677885e-07	-2.339839839839839897e+00 4.784821504026373021e-04 5.863818355355677885e-07
-2.334834834834834894e+00 4.880455914561809545e-04 6.105134601938789958e-07	-2.334834834834834894e+00 4.880455914561809545e-04 6.105134601938789958e-07
-2.329829829829829890e+00 4.979637179385140071e-04 6.359675561493159985e-07	-2.329829829829829890e+00 4.979637179385140071e-04 6.359675561493159985e-07
-2.324824824824824887e+00 5.082556420186020102e-04 6.628362861210035787e-07	-2.324824824824824887e+00 5.082556420186020102e-04 6.628362861210035787e-07
-2.319819819819819884e+00 5.189418265790813082e-04 6.912196962583760985e-07	-2.319819819819819884e+00 5.189418265790813082e-04 6.912196962583760985e-07
-2.314814814814814881e+00 5.300442038562641405e-04 7.212265217769748916e-07	-2.314814814814814881e+00 5.300442038562641405e-04 7.212265217769748916e-07
-2.309809809809809877e+00 5.415863065975979381e-04 7.529750889313914790e-07	-2.309809809809809877e+00 5.415863065975979381e-04 7.529750889313914790e-07
-2.304804804804804874e+00 5.535934132855080403e-04 7.865943265871457430e-07	-2.304804804804804874e+00 5.535934132855080403e-04 7.865943265871457430e-07
-2.299799799799799871e+00 5.660927091974229291e-04 8.222249027279449399e-07	-2.299799799799799871e+00 5.660927091974229291e-04 8.222249027279449399e-07
-2.294794794794794868e+00 5.791134653283848974e-04 8.600205036741323130e-07	-2.294794794794794868e+00 5.791134653283848974e-04 8.600205036741323130e-07
-2.289789789789789864e+00 5.926872375015581869e-04 9.001492766640170707e-07	-2.289789789789789864e+00 5.926872375015581869e-04 9.001492766640170707e-07
-2.284784784784784861e+00 6.068480883410139757e-04 9.427954598491400907e-07	-2.284784784784784861e+00 6.068480883410139757e-04 9.427954598491400907e-07
-2.279779779779779858e+00 6.216328351898182383e-04 9.881612277836744391e-07	-2.279779779779779858e+00 6.216328351898182383e-04 9.881612277836744391e-07
-2.274774774774774855e+00 6.370813275361045290e-04 1.036468785277132983e-06	-2.274774774774774855e+00 6.370813275361045290e-04 1.036468785277132983e-06
-2.269769769769769852e+00 6.532367580744985382e-04 1.087962748188664491e-06	-2.269769769769769852e+00 6.532367580744985382e-04 1.087962748188664491e-06
-2.264764764764764848e+00 6.701460121966882569e-04 1.142912856567257057e-06	-2.264764764764764848e+00 6.701460121966882569e-04 1.142912856567257057e-06
-2.259759759759759845e+00 6.878600614940523538e-04 1.201617073729834351e-06	-2.259759759759759845e+00 6.878600614940523538e-04 1.201617073729834351e-06
-2.254754754754754842e+00 7.064344077922359933e-04 1.264405134721426546e-06	-2.254754754754754842e+00 7.064344077922359933e-04 1.264405134721426546e-06
