-0.50000 5.16810032 1.96546836
-0.49900 5.16803232 1.96547487
-0.49800 5.16797027 1.96548135
-0.49700 5.16791415 1.96548780
-0.49600 5.16786392 1.96549423
-0.49499 5.16781954 1.96550063
-0.49399 5.16778098 1.96550700
-0.49299 5.16774820 1.96551334
-0.49199 5.16772116 1.96551964
-0.49099 5.16769984 1.96552591
-0.48999 5.16768420 1.96553215
-0.48899 5.16767420 1.96553834
-0.48799 5.16766983 1.96554450
-0.48699 5.16767104 1.96555062
-0.48599 5.16767782 1.96555670
-0.48498 5.16769013 1.96556274
-0.48398 5.16770794 1.96556873
-0.48298 5.16773122 1.96557467
-0.48198 5.16775996 1.96558056
-0.48098 5.16779413 1.96558641
-0.47998 5.16783370 1.96559220
-0.47898 5.16787864 1.96559794
-0.47798 5.16792894 1.96560362
-0.47698 5.16798458 1.96560925
-0.47598 5.16804552 1.96561481
-0.47497 5.16811176 1.96562032
-0.47397 5.16818326 1.96562576
-0.47297 5.16826001 1.96563113
-0.47197 5.16834199 1.96563644
-0.47097 5.16842919 1.96564167
-0.46997 5.16852158 1.96564684
-0.46897 5.16861915 1.96565192
-0.46797 5.16872188 1.96565693
-0.46697 5.16882976 1.96566186
-0.46597 5.16894276 1.96566671
-0.46496 5.16906088 1.96567147
-0.46396 5.16918411 1.96567615
-0.46296 5.16931242 1.96568074
-0.46196 5.16944581 1.96568523
-0.46096 5.16958426 1.96568963
-0.45996 5.16972777 1.96569393
-0.45896 5.16987631 1.96569812
-0.45796 5.17002989 1.96570222
-0.45696 5.17018849 1.96570621
-0.45596 5.17035210 1.96571009
-0.45495 5.17052071 1.96571385
-0.45395 5.17069432 1.96571750
-0.45295 5.17087292 1.96572103
-0.45195 5.17105650 1.96572444
-0.45095 5.17124506 1.96572772
-0.44995 5.17143858 1.96573088
-0.44895 5.17163707 1.96573390
-0.44795 5.17184052 1.96573679
-0.44695 5.17204892 1.96573954
-0.44595 5.17226228 1.96574215
-0.44494 5.17248058 1.96574461
-0.44394 5.17270384 1.96574692
-0.44294 5.17293203 1.96574907
-0.44194 5.17316518 1.96575107
-0.44094 5.17340326 1.96575291
-0.43994 5.17364630 1.96575459
-0.43894 5.17389427 1.96575609
-0.43794 5.17414719 1.96575743
-0.43694 5.17440506 1.96575858
-0.43594 5.17466788 1.96575956
-0.43493 5.17493565 1.96576035
-0.43393 5.17520838 1.96576095
-0.43293 5.17548606 1.96576136
-0.43193 5.17576871 1.96576157
-0.43093 5.17605634 1.96576157
-0.42993 5.17634894 1.96576137
-0.42893 5.17664652 1.96576096
-0.42793 5.17694909 1.96576033
-0.42693 5.17725665 1.96575948
-0.42593 5.17756923 1.96575840
-0.42492 5.17788682 1.96575710
-0.42392 5.17820943 1.96575555
-0.42292 5.17853707 1.96575377
-0.42192 5.17886977 1.96575174
-0.42092 5.17920752 1.96574946
-0.41992 5.17955033 1.96574692
-0.41892 5.17989823 1.96574412
-0.41792 5.18025123 1.96574105
-0.41692 5.18060934 1.96573771
-0.41592 5.18097257 1.96573409
-0.41491 5.18134094 1.96573019
-0.41391 5.18171446 1.96572599
-0.41291 5.18209316 1.96572151
-0.41191 5.18247705 1.96571671
-0.41091 5.18286615 1.96571161
-0.40991 5.18326048 1.96570620
-0.40891 5.18366006 1.96570047
-0.40791 5.18406491 1.96569441
-0.40691 5.18447505 1.96568802
-0.40591 5.18489051 1.96568128
-0.40490 5.18531130 1.96567421
-0.40390 5.18573745 1.96566677
-0.40290 5.18616899 1.96565898
-0.40190 5.18660594 1.96565083
-0.40090 5.18704832 1.96564230
-0.39990 5.18749618 1.96563339
-0.39890 5.18794952 1.96562409
-0.39790 5.18840839 1.96561440
-0.39690 5.18887281 1.96560430
-0.39590 5.18934282 1.96559380
-0.39489 5.18981844 1.96558287
-0.39389 5.19029971 1.96557153
-0.39289 5.19078667 1.96555975
-0.39189 5.19127934 1.96554753
-0.39089 5.19177777 1.96553486
-0.38989 5.19228199 1.96552173
-0.38889 5.19279204 1.96550814
-0.38789 5.19330795 1.96549407
-0.38689 5.19382978 1.96547952
-0.38589 5.19435756 1.96546448
-0.38488 5.19489133 1.96544894
-0.38388 5.19543115 1.96543289
-0.38288 5.19597704 1.96541633
-0.38188 5.19652907 1.96539924
-0.38088 5.19708727 1.96538161
-0.37988 5.19765170 1.96536343
-0.37888 5.19822240 1.96534470
-0.37788 5.19879944 1.96532541
-0.37688 5.19938285 1.96530554
-0.37588 5.19997271 1.96528508
-0.37487 5.20056905 1.96526403
-0.37387 5.20117195 1.96524238
-0.37287 5.20178145 1.96522011
-0.37187 5.20239762 1.96519721
-0.37087 5.20302053 1.96517368
-0.36987 5.20365023 1.96514949
-0.36887 5.20428679 1.96512465
-0.36787 5.20493028 1.96509914
-0.36687 5.20558077 1.96507295
-0.36587 5.20623832 1.96504606
-0.36486 5.20690301 1.96501847
-0.36386 5.20757492 1.96499016
-0.36286 5.20825412 1.96496112
-0.36186 5.20894069 1.96493134
-0.36086 5.20963470 1.96490081
-0.35986 5.21033625 1.96486951
-0.35886 5.21104542 1.96483743
-0.35786 5.21176228 1.96480456
-0.35686 5.21248694 1.96477088
-0.35586 5.21321949 1.96473639
-0.35485 5.21396000 1.96470106
-0.35385 5.21470859 1.96466488
-0.35285 5.21546535 1.96462785
-0.35185 5.21623038 1.96458994
-0.35085 5.21700379 1.96455114
-0.34985 5.21778567 1.96451144
-0.34885 5.21857615 1.96447082
-0.34785 5.21937532 1.96442926
-0.34685 5.22018331 1.96438676
-0.34585 5.22100023 1.96434329
