#Vsd      IVsd
1.38438438 0.00022888
1.38738739 0.00022997
1.39039039 0.00023106
1.39339339 0.00023216
1.39639640 0.00023326
1.39939940 0.00023437
1.40240240 0.00023548
1.40540541 0.00023658
1.40840841 0.00023769
1.41141141 0.00023880
1.41441441 0.00023991
1.41741742 0.00024101
1.42042042 0.00024211
1.42342342 0.00024320
1.42642643 0.00024428
1.42942943 0.00024536
1.43243243 0.00024643
1.43543544 0.00024749
1.43843844 0.00024853
1.44144144 0.00024956
1.44444444 0.00025058
1.44744745 0.00025159
1.45045045 0.00025258
1.45345345 0.00025355
1.45645646 0.00025451
1.45945946 0.00025545
1.46246246 0.00025637
1.46546547 0.00025726
1.46846847 0.00025814
1.47147147 0.00025899
1.47447447 0.00025982
1.47747748 0.00026062
1.48048048 0.00026140
1.48348348 0.00026215
1.48648649 0.00026286
1.48948949 0.00026356
1.49249249 0.00026422
1.49549550 0.00026484
1.49849850 0.00026544
1.50150150 0.00026601
1.50450450 0.00026654
1.50750751 0.00026704
1.51051051 0.00026751
1.51351351 0.00026795
1.51651652 0.00026836
1.51951952 0.00026874
1.52252252 0.00026909
1.52552553 0.00026942
1.52852853 0.00026972
1.53153153 0.00026999
1.53453453 0.00027024
1.53753754 0.00027047
1.54054054 0.00027068
1.54354354 0.00027087
1.54654655 0.00027104
1.54954955 0.00027119
1.55255255 0.00027133
1.55555556 0.00027146
1.55855856 0.00027158
1.56156156 0.00027168
1.56456456 0.00027177
1.56756757 0.00027186
1.57057057 0.00027193
1.57357357 0.00027200
1.57657658 0.00027206
1.57957958 0.00027211
1.58258258 0.00027216
1.58558559 0.00027220
1.58858859 0.00027224
1.59159159 0.00027228
1.59459459 0.00027231
1.59759760 0.00027233
1.60060060 0.00027236
1.60360360 0.00027238
1.60660661 0.00027240
1.60960961 0.00027242
1.61261261 0.00027243
1.61561562 0.00027245
1.61861862 0.00027246
1.62162162 0.00027247
1.62462462 0.00027248
1.62762763 0.00027249
1.63063063 0.00027250
1.63363363 0.00027250
1.63663664 0.00027251
1.63963964 0.00027252
1.64264264 0.00027252
1.64564565 0.00027253
1.64864865 0.00027253
1.65165165 0.00027253
1.65465465 0.00027254
1.65765766 0.00027254
1.66066066 0.00027254
1.66366366 0.00027254
1.66666667 0.00027254
1.66966967 0.00027255
1.67267267 0.00027255
1.67567568 0.00027255
1.67867868 0.00027255
1.68168168 0.00027255
1.68468468 0.00027255
1.68768769 0.00027255
1.69069069 0.00027255
1.69369369 0.00027256
1.69669670 0.00027256
1.69969970 0.00027256
1.70270270 0.00027256
1.70570571 0.00027256
1.70870871 0.00027256
1.71171171 0.00027256
1.71471471 0.00027256
1.71771772 0.00027256
1.72072072 0.00027256
1.72372372 0.00027256
1.72672673 0.00027256
1.72972973 0.00027256
1.73273273 0.00027256
1.73573574 0.00027256
1.73873874 0.00027256
1.74174174 0.00027256
1.74474474 0.00027256
1.74774775 0.00027256
1.75075075 0.00027256
1.75375375 0.00027256
1.75675676 0.00027256
1.75975976 0.00027256
1.76276276 0.00027256
1.76576577 0.00027256
1.76876877 0.00027256
1.77177177 0.00027256
1.77477477 0.00027256
1.77777778 0.00027256
1.78078078 0.00027256
1.78378378 0.00027256
1.78678679 0.00027256
1.78978979 0.00027256
1.79279279 0.00027256
1.79579580 0.00027256
1.79879880 0.00027256
1.80180180 0.00027256
1.80480480 0.00027256
1.80780781 0.00027256
1.81081081 0.00027256
1.81381381 0.00027256
1.81681682 0.00027256
1.81981982 0.00027256
1.82282282 0.00027256
1.82582583 0.00027256
1.82882883 0.00027256
1.83183183 0.00027256
1.83483483 0.00027256
1.83783784 0.00027256
1.84084084 0.00027256
1.84384384 0.00027256
1.84684685 0.00027256
1.84984985 0.00027256
1.85285285 0.00027256
1.85585586 0.00027256
1.85885886 0.00027256
1.86186186 0.00027256
1.86486486 0.00027256
1.86786787 0.00027256
1.87087087 0.00027256
1.87387387 0.00027256
1.87687688 0.00027256
1.87987988 0.00027256
1.88288288 0.00027256
1.88588589 0.00027256
1.88888889 0.00027256
1.89189189 0.00027256
1.89489489 0.00027256
1.89789790 0.00027256
1.90090090 0.00027256
1.90390390 0.00027256
1.90690691 0.00027256
1.90990991 0.00027256
1.91291291 0.00027256
1.91591592 0.00027256
1.91891892 0.00027256
1.92192192 0.00027256
1.92492492 0.00027256
1.92792793 0.00027256
1.93093093 0.00027256
1.93393393 0.00027256
1.93693694 0.00027256
1.93993994 0.00027256
1.94294294 0.00027256
1.94594595 0.00027256
1.94894895 0.00027256
1.95195195 0.00027256
1.95495495 0.00027256
1.95795796 0.00027256
1.96096096 0.00027256
1.96396396 0.00027256
1.96696697 0.00027256
1.96996997 0.00027256
1.97297297 0.00027256
1.97597598 0.00027256
1.97897898 0.00027256
1.98198198 0.00027256
1.98498498 0.00027256
1.98798799 0.00027256
1.99099099 0.00027256
1.99399399 0.00027256
1.99699700 0.00027256
2.00000000 0.00027256
2.00300300 0.00027256
2.00600601 0.00027256
2.00900901 0.00027256
2.01201201 0.00027256
2.01501502 0.00027256
2.01801802 0.00027256
2.02102102 0.00027256
2.02402402 0.00027256
2.02702703 0.00027256
2.03003003 0.00027256
2.03303303 0.00027256
2.03603604 0.00027256
2.03903904 0.00027256
2.04204204 0.00027256
2.04504505 0.00027256
2.04804805 0.00027256
2.05105105 0.00027256
2.05405405 0.00027256
2.05705706 0.00027256
2.06006006 0.00027256
2.06306306 0.00027256
2.06606607 0.00027256
2.06906907 0.00027256
2.07207207 0.00027256
2.07507508 0.00027256
2.07807808 0.00027256
2.08108108 0.00027256
2.08408408 0.00027256
2.08708709 0.00027256
2.09009009 0.00027256
2.09309309 0.00027256
2.09609610 0.00027256
2.09909910 0.00027256
2.10210210 0.00027256
2.10510511 0.00027256
2.10810811 0.00027256
2.11111111 0.00027256
2.11411411 0.00027256
2.11711712 0.00027256
2.12012012 0.00027256
2.12312312 0.00027256
2.12612613 0.00027256
2.12912913 0.00027256
2.13213213 0.00027256
2.13513514 0.00027256
2.13813814 0.00027256
2.14114114 0.00027256
2.14414414 0.00027256
2.14714715 0.00027256
2.15015015 0.00027256
2.15315315 0.00027256
2.15615616 0.00027256
2.15915916 0.00027256
2.16216216 0.00027256
2.16516517 0.00027256
2.16816817 0.00027256
2.17117117 0.00027256
2.17417417 0.00027256
2.17717718 0.00027256
2.18018018 0.00027256
2.18318318 0.00027256
2.18618619 0.00027256
2.18918919 0.00027256
2.19219219 0.00027256
2.19519520 0.00027256
2.19819820 0.00027256
2.20120120 0.00027256
2.20420420 0.00027256
2.20720721 0.00027256
2.21021021 0.00027256
2.21321321 0.00027256
2.21621622 0.00027256
2.21921922 0.00027256
2.22222222 0.00027256
2.22522523 0.00027256
2.22822823 0.00027256
2.23123123 0.00027256
2.23423423 0.00027256
2.23723724 0.00027256
2.24024024 0.00027256
2.24324324 0.00027256
2.24624625 0.00027256
2.24924925 0.00027256
2.25225225 0.00027256
2.25525526 0.00027256
2.25825826 0.00027256
2.26126126 0.00027256
2.26426426 0.00027256
2.26726727 0.00027256
2.27027027 0.00027256
2.27327327 0.00027256
2.27627628 0.00027256
2.27927928 0.00027256
2.28228228 0.00027256
2.28528529 0.00027256
2.28828829 0.00027256
2.29129129 0.00027256
2.29429429 0.00027256
2.29729730 0.00027256
2.30030030 0.00027256
2.30330330 0.00027256
2.30630631 0.00027256
2.30930931 0.00027256
2.31231231 0.00027256
2.31531532 0.00027256
2.31831832 0.00027256
2.32132132 0.00027256
2.32432432 0.00027256
2.32732733 0.00027256
2.33033033 0.00027256
2.33333333 0.00027256
2.33633634 0.00027256
2.33933934 0.00027256
2.34234234 0.00027256
2.34534535 0.00027256
