# Vg      Vsd      Conductance
0.03030303 1.91919192 0.00000000
0.03030303 1.94444444 0.00000000
0.03030303 1.96969697 0.00000000
0.03030303 1.99494949 0.00000000
0.03030303 2.02020202 0.00000000
0.03030303 2.04545455 0.00000000
0.03030303 2.07070707 0.00000000
0.03030303 2.09595960 0.00000000
0.03030303 2.12121212 0.00000000
0.03030303 2.14646465 0.00000000
0.03030303 2.17171717 0.00000000
0.03030303 2.19696970 0.00000000
0.03030303 2.22222222 0.00000000
0.03030303 2.24747475 0.00000000
0.03030303 2.27272727 0.00000000
0.03030303 2.29797980 0.00000000
0.03030303 2.32323232 0.00000000
0.03030303 2.34848485 0.00000000
0.03030303 2.37373737 0.00000000
0.03030303 2.39898990 0.00000000
0.03030303 2.42424242 0.00000000
0.03030303 2.44949495 0.00000000
0.03030303 2.47474747 0.00000000
0.03030303 2.50000000 0.00000000

0.06060606 0.00000000 0.00005081
0.06060606 0.02525253 0.00009674
0.06060606 0.05050505 0.00015073
0.06060606 0.07575758 0.00019489
0.06060606 0.10101010 0.00022123
0.06060606 0.12626263 0.00023322
0.06060606 0.15151515 0.00023825
0.06060606 0.17676768 0.00024039
0.06060606 0.20202020 0.00024133
0.06060606 0.22727273 0.00024179
0.06060606 0.25252525 0.00024202
0.06060606 0.27777778 0.00024213
0.06060606 0.30303030 0.00024215
0.06060606 0.32828283 0.00024200
0.06060606 0.35353535 0.00024147
0.06060606 0.37878788 0.00024007
0.06060606 0.40404040 0.00023742
0.06060606 0.42929293 0.00023535
0.06060606 0.45454545 0.00023492
0.06060606 0.47979798 0.00023724
0.06060606 0.50505051 0.00024019
0.06060606 0.53030303 0.00024164
0.06060606 0.55555556 0.00024218
0.06060606 0.58080808 0.00024229
0.06060606 0.60606061 0.00024211
0.06060606 0.63131313 0.00024149
0.06060606 0.65656566 0.00023992
0.06060606 0.68181818 0.00023614
0.06060606 0.70707071 0.00022814
0.06060606 0.73232323 0.00021817
0.06060606 0.75757576 0.00022021
0.06060606 0.78282828 0.00023026
0.06060606 0.80808081 0.00023683
