-0.50000 5.19414232 1.96467950
-0.49900 5.19360735 1.96469629
-0.49800 5.19308452 1.96471296
-0.49700 5.19257367 1.96472951
-0.49600 5.19207461 1.96474596
-0.49499 5.19158718 1.96476229
-0.49399 5.19111120 1.96477851
-0.49299 5.19064652 1.96479463
-0.49199 5.19019297 1.96481064
-0.49099 5.18975040 1.96482654
-0.48999 5.18931865 1.96484233
-0.48899 5.18889759 1.96485802
-0.48799 5.18848706 1.96487361
-0.48699 5.18808691 1.96488909
-0.48599 5.18769703 1.96490447
-0.48498 5.18731725 1.96491975
-0.48398 5.18694747 1.96493493
-0.48298 5.18658754 1.96495000
-0.48198 5.18623734 1.96496497
-0.48098 5.18589674 1.96497984
-0.47998 5.18556563 1.96499461
-0.47898 5.18524388 1.96500928
-0.47798 5.18493139 1.96502384
-0.47698 5.18462803 1.96503830
-0.47598 5.18433370 1.96505267
-0.47497 5.18404829 1.96506693
-0.47397 5.18377170 1.96508108
-0.47297 5.18350381 1.96509514
-0.47197 5.18324454 1.96510909
-0.47097 5.18299377 1.96512294
-0.46997 5.18275142 1.96513668
-0.46897 5.18251739 1.96515032
-0.46797 5.18229158 1.96516385
-0.46697 5.18207391 1.96517728
-0.46597 5.18186428 1.96519060
-0.46496 5.18166262 1.96520381
-0.46396 5.18146883 1.96521691
-0.46296 5.18128284 1.96522990
-0.46196 5.18110456 1.96524278
-0.46096 5.18093391 1.96525555
-0.45996 5.18077081 1.96526820
-0.45896 5.18061519 1.96528074
-0.45796 5.18046698 1.96529316
-0.45696 5.18032609 1.96530546
-0.45596 5.18019247 1.96531764
-0.45495 5.18006603 1.96532970
-0.45395 5.17994672 1.96534164
-0.45295 5.17983446 1.96535346
-0.45195 5.17972919 1.96536514
-0.45095 5.17963085 1.96537670
-0.44995 5.17953936 1.96538813
-0.44895 5.17945468 1.96539943
-0.44795 5.17937674 1.96541059
-0.44695 5.17930549 1.96542162
-0.44595 5.17924085 1.96543251
-0.44494 5.17918279 1.96544326
-0.44394 5.17913124 1.96545387
-0.44294 5.17908615 1.96546433
-0.44194 5.17904747 1.96547464
-0.44094 5.17901514 1.96548481
-0.43994 5.17898912 1.96549482
-0.43894 5.17896936 1.96550467
-0.43794 5.17895580 1.96551437
-0.43694 5.17894841 1.96552391
-0.43594 5.17894713 1.96553329
-0.43493 5.17895192 1.96554250
-0.43393 5.17896273 1.96555154
-0.43293 5.17897953 1.96556040
-0.43193 5.17900226 1.96556910
-0.43093 5.17903090 1.96557761
-0.42993 5.17906540 1.96558595
-0.42893 5.17910571 1.96559410
-0.42793 5.17915181 1.96560206
-0.42693 5.17920365 1.96560983
-0.42593 5.17926119 1.96561740
-0.42492 5.17932441 1.96562478
-0.42392 5.17939327 1.96563195
-0.42292 5.17946773 1.96563892
-0.42192 5.17954775 1.96564568
-0.42092 5.17963332 1.96565223
-0.41992 5.17972439 1.96565856
-0.41892 5.17982093 1.96566466
-0.41792 5.17992292 1.96567055
-0.41692 5.18003032 1.96567620
-0.41592 5.18014311 1.96568162
-0.41491 5.18026126 1.96568680
-0.41391 5.18038474 1.96569174
-0.41291 5.18051352 1.96569643
-0.41191 5.18064759 1.96570088
-0.41091 5.18078691 1.96570506
-0.40991 5.18093147 1.96570899
-0.40891 5.18108123 1.96571265
-0.40791 5.18123618 1.96571604
-0.40691 5.18139629 1.96571916
-0.40591 5.18156155 1.96572200
-0.40490 5.18173192 1.96572455
-0.40390 5.18190740 1.96572681
-0.40290 5.18208796 1.96572878
-0.40190 5.18227359 1.96573044
-0.40090 5.18246427 1.96573181
-0.39990 5.18265997 1.96573285
-0.39890 5.18286069 1.96573359
-0.39790 5.18306641 1.96573400
-0.39690 5.18327711 1.96573408
-0.39590 5.18349278 1.96573382
-0.39489 5.18371340 1.96573323
-0.39389 5.18393896 1.96573229
-0.39289 5.18416946 1.96573100
-0.39189 5.18440487 1.96572935
-0.39089 5.18464519 1.96572734
-0.38989 5.18489040 1.96572495
-0.38889 5.18514051 1.96572218
-0.38789 5.18539548 1.96571904
-0.38689 5.18565533 1.96571550
-0.38589 5.18592004 1.96571156
-0.38488 5.18618961 1.96570722
-0.38388 5.18646402 1.96570246
-0.38288 5.18674327 1.96569729
-0.38188 5.18702736 1.96569169
-0.38088 5.18731629 1.96568565
-0.37988 5.18761004 1.96567918
-0.37888 5.18790862 1.96567226
-0.37788 5.18821203 1.96566488
-0.37688 5.18852026 1.96565703
-0.37588 5.18883331 1.96564872
-0.37487 5.18915118 1.96563992
-0.37387 5.18947387 1.96563064
-0.37287 5.18980139 1.96562086
-0.37187 5.19013373 1.96561058
-0.37087 5.19047090 1.96559978
-0.36987 5.19081291 1.96558846
-0.36887 5.19115975 1.96557661
-0.36787 5.19151143 1.96556422
-0.36687 5.19186797 1.96555129
-0.36587 5.19222935 1.96553779
-0.36486 5.19259560 1.96552373
-0.36386 5.19296672 1.96550909
-0.36286 5.19334271 1.96549387
-0.36186 5.19372360 1.96547805
-0.36086 5.19410938 1.96546163
-0.35986 5.19450008 1.96544459
-0.35886 5.19489570 1.96542692
-0.35786 5.19529626 1.96540862
-0.35686 5.19570178 1.96538968
-0.35586 5.19611226 1.96537008
-0.35485 5.19652772 1.96534981
-0.35385 5.19694818 1.96532886
-0.35285 5.19737366 1.96530723
-0.35185 5.19780418 1.96528489
-0.35085 5.19823976 1.96526184
-0.34985 5.19868042 1.96523807
-0.34885 5.19912617 1.96521357
-0.34785 5.19957706 1.96518832
-0.34685 5.20003308 1.96516231
-0.34585 5.20049429 1.96513553
