-2.500000000000000000e+00 1.798651240291109562e-03 1.826265633961130133e-07	-2.500000000000000000e+00 4.715690599314705097e-04 4.938248137056928737e-08
-2.494994994994994997e+00 1.844814779249888534e-03 1.917464547342802435e-07	-2.494994994994994997e+00 4.785790664699280587e-04 5.117884172030121126e-08
-2.489989989989989994e+00 1.892947702116594107e-03 2.014332610946349629e-07	-2.489989989989989994e+00 4.857667197001240924e-04 5.305552220591074015e-08
-2.484984984984984990e+00 1.943166320289950889e-03 2.117297384931546586e-07	-2.484984984984984990e+00 4.931384246698364672e-04 5.501684075962189089e-08
-2.479979979979979987e+00 1.995595725961061846e-03 2.226824734429353164e-07	-2.479979979979979987e+00 5.007008870725730308e-04 5.706738909731193501e-08
-2.474974974974974984e+00 2.050370602166939286e-03 2.343422836070579676e-07	-2.474974974974974984e+00 5.084611306929870140e-04 5.921205285956569087e-08
-2.469969969969969981e+00 2.107636121508215787e-03 2.467646666842755193e-07	-2.469969969969969981e+00 5.164265160619349983e-04 6.145603344803171656e-08
-2.464964964964964977e+00 2.167548944805800480e-03 2.600103041320828779e-07	-2.464964964964964977e+00 5.246047604190452436e-04 6.380487171844037881e-08
-2.459959959959959974e+00 2.230278332610531600e-03 2.741456273502143702e-07	-2.459959959959959974e+00 5.330039590896968682e-04 6.626447370882954168e-08
-2.454954954954954971e+00 2.296007384388836815e-03 2.892434551415984457e-07	-2.454954954954954971e+00 5.416326083933564262e-04 6.884113860075625020e-08
-2.449949949949949968e+00 2.364934422434960670e-03 3.053837126706946812e-07	-2.449949949949949968e+00 5.504996302112941499e-04 7.154158913279863048e-08
-2.444944944944944965e+00 2.437274540166090367e-03 3.226542437914961533e-07	-2.444944944944944965e+00 5.596143983539550188e-04 7.437300470977372144e-08
-2.439939939939939961e+00 2.513261337513037624e-03 3.411517305686733401e-07	-2.439939939939939961e+00 5.689867668818785872e-04 7.734305747818162564e-08
