# Vg      Vsd      Conductance
-0.49331104 -0.41638796 0.00068295
-0.49331104 -0.41304348 0.00066663
-0.49331104 -0.40969900 0.00065065
-0.49331104 -0.40635452 0.00063577
-0.49331104 -0.40301003 0.00062314
-0.49331104 -0.39966555 0.00061392
-0.49331104 -0.39632107 0.00060821
-0.49331104 -0.39297659 0.00060510
-0.49331104 -0.38963211 0.00060356
-0.49331104 -0.38628763 0.00060283
-0.49331104 -0.38294314 0.00060249
-0.49331104 -0.37959866 0.00060234
-0.49331104 -0.37625418 0.00060228
-0.49331104 -0.37290970 0.00060225
-0.49331104 -0.36956522 0.00060222
-0.49331104 -0.36622074 0.00060219
-0.49331104 -0.36287625 0.00060215
-0.49331104 -0.35953177 0.00060209
-0.49331104 -0.35618729 0.00060201
-0.49331104 -0.35284281 0.00060188
-0.49331104 -0.34949833 0.00060172
-0.49331104 -0.34615385 0.00060153
-0.49331104 -0.34280936 0.00060127
-0.49331104 -0.33946488 0.00060096
-0.49331104 -0.33612040 0.00060058
-0.49331104 -0.33277592 0.00060011
-0.49331104 -0.32943144 0.00059954
-0.49331104 -0.32608696 0.00059887
-0.49331104 -0.32274247 0.00059804
-0.49331104 -0.31939799 0.00059707
-0.49331104 -0.31605351 0.00059592
-0.49331104 -0.31270903 0.00059455
-0.49331104 -0.30936455 0.00059294
-0.49331104 -0.30602007 0.00059105
-0.49331104 -0.30267559 0.00058882
-0.49331104 -0.29933110 0.00058622
-0.49331104 -0.29598662 0.00058317
-0.49331104 -0.29264214 0.00057961
-0.49331104 -0.28929766 0.00057546
-0.49331104 -0.28595318 0.00057065
-0.49331104 -0.28260870 0.00056508
-0.49331104 -0.27926421 0.00055866
-0.49331104 -0.27591973 0.00055129
-0.49331104 -0.27257525 0.00054286
-0.49331104 -0.26923077 0.00053329
-0.49331104 -0.26588629 0.00052247
-0.49331104 -0.26254181 0.00051034
-0.49331104 -0.25919732 0.00049686
-0.49331104 -0.25585284 0.00048201
-0.49331104 -0.25250836 0.00046581
-0.49331104 -0.24916388 0.00044834
-0.49331104 -0.24581940 0.00042978
-0.49331104 -0.24247492 0.00041048
-0.49331104 -0.23913043 0.00039101
-0.49331104 -0.23578595 0.00037221
-0.49331104 -0.23244147 0.00035493
-0.49331104 -0.22909699 0.00033983
-0.49331104 -0.22575251 0.00032730
-0.49331104 -0.22240803 0.00031765
-0.49331104 -0.21906355 0.00031089
-0.49331104 -0.21571906 0.00030651
-0.49331104 -0.21237458 0.00030359
-0.49331104 -0.20903010 0.00030121
-0.49331104 -0.20568562 0.00029856
-0.49331104 -0.20234114 0.00029494
-0.49331104 -0.19899666 0.00028986
-0.49331104 -0.19565217 0.00028349
-0.49331104 -0.19230769 0.00027708
-0.49331104 -0.18896321 0.00027210
-0.49331104 -0.18561873 0.00026826
-0.49331104 -0.18227425 0.00026407
-0.49331104 -0.17892977 0.00025973
-0.49331104 -0.17558528 0.00025700
-0.49331104 -0.17224080 0.00025610
-0.49331104 -0.16889632 0.00025554
-0.49331104 -0.16555184 0.00025506
-0.49331104 -0.16220736 0.00025551
-0.49331104 -0.15886288 0.00025651
-0.49331104 -0.15551839 0.00025721
-0.49331104 -0.15217391 0.00025787
-0.49331104 -0.14882943 0.00025881
-0.49331104 -0.14548495 0.00026019
-0.49331104 -0.14214047 0.00026318
-0.49331104 -0.13879599 0.00026861
-0.49331104 -0.13545151 0.00027467
-0.49331104 -0.13210702 0.00027835
